codBarras;NumeroOrden;Autor;Clasificacion;isbn;Titulo;Z13_IMPRINT;Año;Colección;Z30_DESCRIPTION;Material;Estatus de Item;Estatus de Proceso;Z30_PROCESS_STATUS_DATE;Fecha Arribo;Biblioteca;Z68_ORDER_GROUP;PARTIDA;Z68_ORDER_DATE
1001;9001;Autora, Prueba;001.4 B268-i-2 23;9789968319843;Investigación;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1002;9002;Autora, Prueba;004.0151 A111a 23;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1003;9003;Autora, Prueba;004.1 B222b 23;9789968319843;Obra de prueba;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1004;9004;Autora, Prueba;303.440 972 862 021 G216c 23;9789968319843;Agrupamiento Dewey;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1005;9005;Autora, Prueba;352,85 C333c 23;9789968319843;Coma decimal;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1006;9006;Autora, Prueba;378.728 6 D444d 23;9789968319843;Espacio interno en la clase;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1007;9007;Autora, Prueba;500 P111p 23;9789968319843;Ciencia :;"México : Alfaomega ; Ra-Ma, 2006.";2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1008;9008;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.01;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1009;9009;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.02;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1010;9010;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.03;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1011;9011;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.04;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1012;9012;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.05;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
1013;9013;Autora, Prueba;658 W721A6 23;9789968319843;Administración;San José, Costa Rica : EUNED, 2013.;2013;GRAL ;Ej.06;LIBRO;06;  ;20251103;00000000;BJFF ;B4        ;GIFT-DEFAULT             ;20250210
